Alloy,Finish,Length_m,Weight_kg_per_m,Profile_Name,Tolerances,GD_T,Order_Quantity,LME_Price_EUR,Customer_Category,Lead_Time_weeks,Quote_Price_SEK,Quote_Date
Brass,Blackening,36.4,1.572,Baslister,0.198,low,151589,3.01,small,5,2.05,2025-06-24
Nickel,Chrome plated,37.8,1.256,Karmprofil,0.056,low,91001,2.95,micro,4,3.12,2025-12-05
Copper,Plasma sprayed,33.9,1.335,Hörnvinkel,0.195,low,109867,3.12,micro,3,2.79,2025-01-02
Lead,Electroplated,23.0,1.231,Korsprofil,0.132,high,112964,2.83,medium,6,2.74,2025-06-21
Copper,Brushed,31.7,0.877,Vinkellist,0.194,low,113499,3.66,small,5,2.73,2025-11-30
Lead,Wet painted,25.9,0.988,Doldbeslag,0.067,low,132064,3.53,large,9,2.4,2025-10-11
Aluminium,Chrome plated,21.6,1.243,Sidoprofil,0.124,low,113518,3.32,large,8,2.73,2025-02-23
Aluminium,Plasma sprayed,35.2,1.028,Dekorlist,0.075,medium,154657,3.17,micro,7,2.0,2025-03-08
Aluminium,Brushed,16.6,0.883,Glaskil,0.058,high,113029,4.0,micro,12,2.74,2025-04-12
Zinc,Brushed,36.6,1.606,Distansprofil,0.143,high,60861,2.6,small,3,3.66,2025-04-30
Copper,Polished,26.4,1.731,Tätningslist,0.081,high,82868,3.77,micro,4,3.27,2025-07-10
Lead,Plasma sprayed,30.5,1.56,Ändprofil,0.138,medium,141649,3.98,large,11,2.23,2025-10-31
Nickel,Powder coated,31.0,1.615,Glaskil,0.067,high,105602,3.26,medium,10,2.87,2025-02-16
Iron,Hot-dip galvanized,36.4,1.058,Droppnäsa,0.1,medium,127680,3.43,medium,10,2.48,2025-08-10
Nickel,Anodized,30.5,1.712,Bottenlist,0.167,medium,127268,4.05,small,6,2.48,2025-01-21
Iron,Anodized,29.9,1.017,Glasningslist,0.116,high,61804,2.89,medium,4,3.64,2025-06-07
Titanium,Electroplated,17.3,1.704,Hakprofil,0.144,low,148416,3.38,micro,3,2.11,2025-12-14
Nickel,Electroplated,27.7,1.743,Skenprofil,0.147,low,69446,3.3,micro,9,3.51,2025-06-08
Brass,Anodized,19.2,1.485,Z-profil,0.177,high,72597,2.96,micro,7,3.45,2025-08-23
Brass,Blackening,32.8,1.731,Glashållare,0.099,high,118694,3.85,micro,11,2.64,2025-05-30
Steel,Powder coated,27.6,1.356,Baslister,0.153,medium,159473,3.98,small,12,1.91,2025-09-14
Copper,Blackening,31.5,1.074,Hakprofil,0.194,high,158242,3.79,medium,8,1.94,2025-06-14
Iron,Blackening,16.7,1.235,Korsprofil,0.16,medium,100907,2.86,large,2,2.95,2025-03-18
Iron,Wet painted,17.7,1.378,Z-profil,0.123,high,49239,2.69,medium,2,3.86,2025-03-26
Copper,Phosphated,32.3,0.904,Bottenlist,0.145,low,122767,3.51,micro,11,2.56,2025-02-15
Zinc,Hot-dip galvanized,17.4,1.404,Korsprofil,0.161,low,83015,2.64,large,3,3.27,2025-02-16
Steel,Wet painted,17.4,1.731,Vinkellist,0.142,high,76760,3.62,small,11,3.38,2025-08-01
Zinc,Polished,16.0,1.01,Kantprofil,0.053,medium,98876,3.39,micro,4,2.99,2025-02-28
Zinc,Phosphated,37.9,1.559,Karmprofil,0.079,low,100522,3.6,micro,2,2.96,2025-02-23
Zinc,Phosphated,32.8,1.664,T-profil,0.172,medium,44966,3.49,large,6,3.94,2025-12-08
Copper,Plasma sprayed,23.9,1.697,Glaskil,0.091,high,94419,3.22,small,4,3.06,2025-01-12
Zinc,Powder coated,22.6,1.712,Skruvkanal,0.16,high,67621,2.87,large,2,3.54,2025-07-11
Brass,Powder coated,23.8,1.312,Fönsterbleck,0.106,low,34079,3.04,small,9,4.13,2025-01-06
Aluminium,Phosphated,33.7,1.727,Mittpost,0.128,high,45486,3.38,micro,12,3.93,2025-11-05
Titanium,Blackening,31.0,1.527,H-profil,0.06,low,48759,3.59,medium,7,3.87,2025-05-24
Iron,Plasma sprayed,20.0,0.984,Glashållare,0.077,medium,118546,3.79,micro,10,2.64,2025-12-12
Iron,Hot-dip galvanized,19.8,1.272,Dekorlist,0.194,low,120055,3.77,medium,4,2.61,2025-09-18
Titanium,Phosphated,18.0,1.491,Fönsterbleck,0.184,low,37357,4.1,medium,10,4.07,2025-03-14
Copper,Chrome plated,31.0,1.063,Foglist,0.148,medium,92963,3.0,small,10,3.09,2025-06-23
Nickel,Electroplated,33.4,1.421,Hakprofil,0.119,low,51033,2.66,large,2,3.83,2025-08-20
Copper,Electroplated,21.9,1.444,Distansprofil,0.151,low,51457,3.1,small,4,3.82,2025-09-27
Iron,Wet painted,16.2,0.985,Foglist,0.143,high,67330,3.73,micro,7,3.54,2025-12-28
Iron,Polished,17.6,1.352,Glasningslist,0.135,medium,51913,3.25,large,9,3.82,2025-08-10
Titanium,Electroplated,38.1,1.54,Z-profil,0.059,low,140912,3.85,medium,5,2.24,2025-02-21
Zinc,Brushed,22.6,1.292,Karmlist,0.145,medium,147380,3.42,medium,6,2.13,2025-04-26
Copper,Wet painted,33.5,0.848,Kantskydd,0.165,medium,115328,4.03,micro,10,2.69,2025-01-26
Lead,Electroplated,30.2,0.845,Avvattningsprofil,0.199,low,118582,4.06,large,7,2.64,2025-02-22
Titanium,Polished,24.6,1.162,Innerbåge,0.052,high,37488,2.66,micro,8,4.07,2025-12-31
Brass,Blackening,20.5,1.681,Glasningslist,0.16,medium,139406,3.28,micro,8,2.27,2025-01-29
Iron,Blackening,18.5,1.046,F-profil,0.136,low,160646,3.52,small,5,1.89,2025-01-19
Titanium,Powder coated,30.0,1.415,Anslagslist,0.115,medium,61980,2.96,micro,5,3.64,2025-10-30
Copper,Powder coated,33.7,1.04,Sidoprofil,0.069,high,135661,3.2,large,5,2.34,2025-10-06
Iron,Hot-dip galvanized,30.6,1.13,Ändprofil,0.111,high,92419,3.63,micro,12,3.1,2025-04-27
Nickel,Phosphated,28.0,1.61,Kilspår,0.103,high,134602,2.91,large,6,2.35,2025-04-16
Titanium,Chrome plated,16.7,1.501,Hörnvinkel,0.095,low,106700,3.51,medium,6,2.85,2025-11-05
Steel,Powder coated,38.1,0.924,Kantprofil,0.16,low,88018,3.66,micro,9,3.18,2025-08-15
Iron,Plasma sprayed,34.2,1.228,Korsprofil,0.155,high,68745,2.69,large,10,3.52,2025-12-18
Copper,Electroplated,22.5,0.864,Clipsprofil,0.138,low,38096,3.34,medium,3,4.06,2025-07-05
Aluminium,Plasma sprayed,38.4,1.275,U-profil,0.191,high,79518,2.97,large,12,3.33,2025-09-18
Lead,Polished,29.7,1.441,Ventilationslister,0.102,low,71431,3.7,medium,8,3.47,2025-01-16
Tin,Powder coated,29.2,0.945,Ytterram,0.087,high,40423,2.85,small,2,4.02,2025-09-30
Zinc,Chrome plated,33.0,1.1,Kilspår,0.148,medium,40522,3.97,micro,2,4.02,2025-06-09
Tin,Polished,34.5,1.2,Anslagslist,0.08,high,56374,3.24,micro,5,3.74,2025-12-24
Copper,Brushed,30.9,1.675,J-profil,0.097,high,144258,2.86,medium,11,2.18,2025-09-07
Brass,Brushed,18.7,1.742,Ändprofil,0.084,low,148388,3.25,small,8,2.11,2025-08-12
Brass,Plasma sprayed,23.6,0.878,Skarvprofil,0.06,low,62125,3.2,large,3,3.64,2025-09-13
Aluminium,Phosphated,37.2,1.53,Doldbeslag,0.174,low,69139,3.23,small,12,3.51,2025-06-29
Zinc,Wet painted,20.9,1.176,Kopplingsprofil,0.088,low,139412,3.48,large,3,2.27,2025-01-20
Steel,Phosphated,24.3,1.195,Rörprofil,0.121,low,159814,3.38,large,2,1.91,2025-04-22
Aluminium,Blackening,25.7,1.524,Täckprofil,0.056,low,100622,2.79,micro,11,2.95,2025-04-30
Tin,Hot-dip galvanized,25.9,1.674,Ändprofil,0.155,medium,88621,2.65,medium,3,3.17,2025-07-13
Aluminium,Phosphated,29.9,1.703,Kantskydd,0.1,high,131474,3.71,micro,8,2.41,2025-04-21
Tin,Hot-dip galvanized,37.6,1.363,Ventilationslister,0.162,high,134800,3.44,micro,10,2.35,2025-07-29
Iron,Hot-dip galvanized,21.3,1.162,T-profil,0.112,high,142400,3.12,micro,7,2.22,2025-01-01
Brass,Chrome plated,18.5,1.555,Pärlspont,0.079,medium,58288,3.84,large,11,3.7,2025-02-27
Iron,Powder coated,20.3,1.066,Glasningslist,0.127,high,67807,3.17,micro,3,3.54,2025-04-03
Lead,Chrome plated,36.3,1.351,Spröjsprofil,0.07,medium,131544,3.82,large,11,2.41,2025-08-09
Zinc,Hot-dip galvanized,30.7,1.164,Hakprofil,0.116,medium,130944,3.04,medium,11,2.42,2025-07-30
Steel,Polished,22.3,1.435,Täckprofil,0.098,medium,158088,2.67,large,10,1.94,2025-08-20
Tin,Brushed,34.6,1.056,Ändprofil,0.187,high,127551,4.03,large,8,2.48,2025-09-19
Steel,Hot-dip galvanized,35.7,1.012,Fönsterbåge,0.059,medium,56106,3.18,small,12,3.74,2025-12-30
Tin,Chrome plated,35.3,1.674,Täckprofil,0.154,high,69201,3.81,micro,2,3.51,2025-04-13
Copper,Polished,37.0,0.93,U-profil,0.077,high,49343,2.99,micro,10,3.86,2025-02-19
Aluminium,Chrome plated,21.6,1.298,Kilspår,0.098,low,108061,3.58,micro,3,2.82,2025-04-20
Lead,Phosphated,33.2,1.038,Glaskil,0.112,low,42052,3.94,micro,5,3.99,2025-03-29
Brass,Electroplated,26.4,0.873,Ramlist,0.186,medium,101293,2.62,small,10,2.94,2025-01-20
Tin,Plasma sprayed,35.2,0.87,Distansprofil,0.086,medium,74916,3.87,small,5,3.41,2025-01-14
Steel,Wet painted,32.6,0.997,Anslagslist,0.064,high,84427,3.46,small,4,3.24,2025-05-13
Lead,Blackening,33.7,1.627,Dekorlist,0.098,medium,107077,3.52,small,2,2.84,2025-10-23
Nickel,Chrome plated,30.9,1.095,Clipsprofil,0.066,medium,32753,3.38,micro,8,4.15,2025-02-03
Nickel,Wet painted,19.8,1.703,T-profil,0.069,high,107732,3.94,large,7,2.83,2025-07-27
Iron,Anodized,28.3,1.367,Ytterram,0.136,medium,155172,2.62,medium,11,1.99,2025-10-28
Brass,Chrome plated,38.5,1.235,Rörprofil,0.059,medium,119662,2.97,small,5,2.62,2025-07-18
Copper,Electroplated,37.4,1.366,Isolerprofil,0.055,high,43276,3.94,large,7,3.97,2025-03-21
Steel,Wet painted,16.7,1.308,J-profil,0.157,high,146476,3.75,small,7,2.14,2025-03-12
Aluminium,Blackening,19.5,1.528,Hörnvinkel,0.104,low,131422,2.58,micro,5,2.41,2025-06-04
Aluminium,Hot-dip galvanized,18.8,1.095,Pärlspont,0.069,high,102704,3.37,micro,7,2.92,2025-03-19
Steel,Chrome plated,32.5,1.159,Anslagslist,0.088,low,114232,3.39,large,11,2.71,2025-03-19
Zinc,Powder coated,34.7,1.652,Isolerprofil,0.146,medium,129470,3.19,large,12,2.44,2025-06-21
Copper,Plasma sprayed,20.7,1.699,Kantprofil,0.091,high,110007,3.02,large,9,2.79,2025-10-16
Lead,Electroplated,27.4,1.65,Isolerprofil,0.124,high,121947,3.63,micro,4,2.58,2025-02-02
Tin,Wet painted,35.2,1.219,Innerbåge,0.068,high,65988,2.88,micro,5,3.57,2025-10-27
Zinc,Electroplated,32.7,1.548,Innerbåge,0.138,medium,119140,3.82,medium,11,2.63,2025-10-03
Tin,Polished,28.3,1.271,Karmlist,0.097,low,149406,3.83,large,2,2.09,2025-01-07
Tin,Blackening,29.4,1.29,Kopplingsprofil,0.144,medium,140110,3.21,medium,5,2.26,2025-06-09
Zinc,Plasma sprayed,27.5,1.024,Bottenlist,0.171,medium,137079,3.0,small,12,2.31,2025-08-28
Iron,Hot-dip galvanized,22.6,1.376,L-profil,0.142,high,126089,3.0,medium,11,2.5,2025-01-24
Nickel,Chrome plated,28.8,1.007,Täckprofil,0.094,low,128816,3.32,small,11,2.46,2025-08-02
Tin,Chrome plated,31.7,1.139,Droppnäsa,0.088,medium,34317,3.69,small,10,4.13,2025-03-11
Zinc,Chrome plated,35.9,1.616,Kopplingsprofil,0.099,high,40257,3.12,medium,9,4.02,2025-08-04
Zinc,Plasma sprayed,30.5,1.026,Pärlspont,0.075,medium,146834,3.52,large,12,2.14,2025-04-14
Titanium,Powder coated,33.3,0.902,Glaskil,0.077,medium,140024,3.16,small,5,2.26,2025-08-03
Iron,Anodized,19.4,0.9,Karmprofil,0.169,high,37092,3.03,large,8,4.08,2025-02-23
Brass,Brushed,26.4,1.694,Droppnäsa,0.108,high,88282,2.59,micro,11,3.17,2025-10-21
Titanium,Phosphated,15.9,1.299,F-profil,0.115,low,45537,2.56,small,4,3.93,2025-11-26
Titanium,Wet painted,21.4,1.21,Korsprofil,0.139,medium,83886,2.91,micro,10,3.25,2025-12-02
Steel,Powder coated,32.5,1.576,Ramlist,0.138,high,114087,3.2,medium,11,2.72,2025-07-22
Nickel,Hot-dip galvanized,38.7,1.598,Foglist,0.06,high,51552,3.9,large,5,3.82,2025-10-15
Zinc,Wet painted,18.0,1.14,Ramlist,0.175,low,43007,3.82,medium,3,3.97,2025-02-14
Nickel,Chrome plated,25.0,1.469,Foglist,0.077,low,66506,2.97,small,11,3.56,2025-11-13
Copper,Electroplated,34.2,1.54,Kopplingsprofil,0.158,high,126576,2.94,micro,6,2.5,2025-07-17
Steel,Hot-dip galvanized,20.4,1.433,Droppnäsa,0.166,low,35843,2.91,small,3,4.1,2025-08-04
Brass,Wet painted,28.6,0.975,Ändprofil,0.157,high,76435,3.09,medium,11,3.38,2025-11-05
Nickel,Blackening,32.7,1.635,Fönsterbåge,0.137,medium,148769,3.34,large,7,2.1,2025-11-28
Aluminium,Chrome plated,30.0,1.328,Baslister,0.052,low,146124,3.25,large,12,2.15,2025-07-03
Tin,Wet painted,20.1,1.095,Glaskil,0.104,medium,136947,2.9,small,11,2.31,2025-01-27
Copper,Electroplated,24.0,1.225,Skruvkanal,0.141,medium,67331,2.76,small,2,3.54,2025-06-15
Iron,Blackening,33.9,0.871,Innerbåge,0.108,medium,75229,2.57,micro,7,3.4,2025-11-14
Brass,Chrome plated,28.6,0.954,Clipsprofil,0.18,high,98047,2.79,medium,5,3.0,2025-10-01
Copper,Anodized,15.8,1.534,Ytterram,0.096,medium,90151,3.67,small,4,3.14,2025-12-31
Tin,Powder coated,33.3,0.837,Isolerprofil,0.094,medium,87611,2.94,micro,3,3.18,2025-04-13
Steel,Polished,16.5,1.217,Kantprofil,0.09,medium,144413,3.3,small,8,2.18,2025-11-29
Tin,Phosphated,33.0,1.313,U-profil,0.1,high,137631,3.49,large,10,2.3,2025-04-14
Titanium,Plasma sprayed,20.4,0.887,Avvattningsprofil,0.134,medium,98167,3.96,micro,4,3.0,2025-09-02
Tin,Phosphated,37.9,1.723,Droppnäsa,0.156,medium,121080,3.96,micro,7,2.59,2025-11-01
Titanium,Hot-dip galvanized,24.2,1.043,Z-profil,0.149,low,89496,3.74,small,10,3.15,2025-06-18
Steel,Phosphated,23.3,1.114,Distansprofil,0.171,high,106005,2.61,medium,3,2.86,2025-04-26
Lead,Chrome plated,19.2,1.114,Karmprofil,0.183,medium,90194,3.46,large,8,3.14,2025-05-21
Titanium,Anodized,22.8,1.047,Glasningslist,0.172,low,119940,3.8,medium,6,2.61,2025-12-22
Iron,Polished,36.0,0.839,Isolerprofil,0.053,high,139737,2.58,micro,6,2.26,2025-05-05
Tin,Powder coated,38.8,1.502,Täckprofil,0.16,high,46891,3.42,medium,12,3.9,2025-01-25
Tin,Powder coated,24.2,1.718,Glasningslist,0.081,high,129547,3.91,micro,8,2.44,2025-07-13
Iron,Electroplated,26.1,1.042,Hörnvinkel,0.07,high,81193,3.3,medium,10,3.3,2025-04-10
Aluminium,Plasma sprayed,32.4,1.441,Spröjsprofil,0.146,high,33027,2.56,small,5,4.15,2025-01-05
Zinc,Wet painted,36.2,1.513,Kopplingsprofil,0.098,high,53659,2.57,medium,10,3.79,2025-01-19
Lead,Anodized,29.5,1.61,Glaskil,0.059,medium,76122,3.21,micro,12,3.39,2025-06-19
Brass,Wet painted,24.8,1.222,Sidoprofil,0.071,medium,133847,2.8,large,11,2.37,2025-10-01
Titanium,Polished,25.3,1.113,Tätningslist,0.05,medium,147636,3.61,large,10,2.12,2025-09-11
Iron,Phosphated,31.8,1.134,Fönsterbåge,0.185,medium,135699,3.68,large,5,2.33,2025-05-01
Steel,Powder coated,15.8,1.486,Doldbeslag,0.054,low,144413,2.83,micro,4,2.18,2025-02-01
Titanium,Polished,30.1,1.581,Vinkellist,0.081,medium,120834,3.96,medium,3,2.6,2025-05-29
Zinc,Phosphated,24.0,1.003,Doldbeslag,0.112,high,43229,3.25,large,10,3.97,2025-09-23
Steel,Powder coated,34.1,1.175,Korsprofil,0.103,medium,160888,2.78,large,3,1.89,2025-02-06
Copper,Phosphated,17.9,1.659,Hakprofilslist,0.187,medium,92391,3.77,large,7,3.1,2025-06-26
Tin,Plasma sprayed,29.3,1.572,Fönsterbåge,0.056,high,112678,3.81,small,6,2.74,2025-12-08
Copper,Anodized,26.9,1.734,Ventilationslister,0.127,medium,55819,3.57,micro,6,3.75,2025-01-13
Titanium,Blackening,30.6,1.524,Innerbåge,0.152,medium,49693,3.91,micro,5,3.86,2025-07-02
Zinc,Hot-dip galvanized,17.2,1.195,Bottenlist,0.19,medium,66618,3.72,micro,7,3.56,2025-05-25
Lead,Polished,29.1,1.375,Karmlist,0.143,low,106831,3.95,micro,6,2.84,2025-09-22
Titanium,Polished,28.7,1.439,Glasningslist,0.171,medium,126492,3.24,micro,12,2.5,2025-03-29
Iron,Blackening,28.7,0.909,L-profil,0.063,high,80234,3.74,small,5,3.32,2025-02-15
Nickel,Brushed,29.7,1.333,Tätningslist,0.108,high,138096,4.14,medium,10,2.29,2025-04-29
Titanium,Chrome plated,31.4,1.483,Z-profil,0.106,medium,143105,3.7,small,7,2.2,2025-01-19
Tin,Plasma sprayed,34.4,0.99,Clipsprofil,0.183,medium,113403,2.73,large,12,2.73,2025-08-08
Tin,Plasma sprayed,22.0,1.548,Anslagslist,0.073,medium,61140,3.37,small,11,3.65,2025-08-21
Titanium,Blackening,34.8,1.369,Skenprofil,0.073,high,150389,3.48,micro,11,2.07,2025-04-04
Steel,Wet painted,27.3,1.704,T-profil,0.099,high,121667,2.83,small,11,2.58,2025-09-08
Nickel,Phosphated,17.5,0.876,Mittpost,0.058,low,45565,4.08,micro,4,3.93,2025-09-07
Iron,Chrome plated,17.1,1.079,Sidoprofil,0.077,low,37724,2.83,small,11,4.07,2025-10-09
Titanium,Anodized,23.5,1.385,Z-profil,0.195,low,52925,2.83,micro,7,3.8,2025-08-20
Steel,Anodized,33.9,1.107,L-profil,0.114,high,111922,4.01,large,2,2.75,2025-02-15
Tin,Blackening,32.1,1.488,Ventilationslister,0.145,low,61487,3.29,micro,6,3.65,2025-02-15
Tin,Plasma sprayed,34.0,1.529,Skenprofil,0.159,medium,68229,2.65,small,11,3.53,2025-01-14
Zinc,Anodized,27.7,0.931,J-profil,0.105,medium,94192,3.5,large,7,3.07,2025-03-26
Titanium,Brushed,25.9,1.305,Droppnäsa,0.072,high,52839,3.51,small,12,3.8,2025-11-15
Nickel,Polished,19.1,1.301,Ytterram,0.081,low,88930,2.65,large,9,3.16,2025-11-24
Aluminium,Electroplated,23.3,1.174,Rörprofil,0.097,medium,122939,4.1,medium,12,2.56,2025-01-03
Nickel,Hot-dip galvanized,25.8,1.687,J-profil,0.145,high,125710,3.42,medium,10,2.51,2025-01-28
Tin,Blackening,17.8,1.591,Kopplingsprofil,0.11,low,41515,3.44,medium,12,4.0,2025-06-06
Tin,Wet painted,20.8,1.472,Anslagslist,0.051,medium,71685,3.38,small,4,3.47,2025-12-09
Copper,Phosphated,29.6,1.488,Karmlist,0.129,low,119880,3.52,small,3,2.61,2025-11-29
Tin,Hot-dip galvanized,32.8,1.258,Karmprofil,0.188,high,109762,2.97,large,5,2.79,2025-11-28
Iron,Phosphated,38.8,1.676,Glasningslist,0.172,low,145696,3.01,large,9,2.16,2025-06-24
Brass,Powder coated,37.3,1.47,Vinkellist,0.174,high,129337,3.36,large,12,2.45,2025-04-24
Titanium,Hot-dip galvanized,30.6,1.501,Ytterram,0.169,low,127610,3.83,large,9,2.48,2025-11-27
Nickel,Electroplated,25.5,1.622,Karmlist,0.099,medium,57308,2.63,micro,4,3.72,2025-09-07
Brass,Plasma sprayed,30.4,1.087,Karmlist,0.165,high,81228,3.51,medium,5,3.3,2025-02-28
Steel,Brushed,33.9,1.572,Kantskydd,0.071,high,115396,3.83,micro,4,2.69,2025-07-22
Aluminium,Polished,18.5,1.015,Kantskydd,0.149,high,122176,2.8,micro,11,2.57,2025-11-11
Iron,Polished,25.2,1.152,Droppnäsa,0.146,low,57276,2.57,micro,3,3.72,2025-08-27
Nickel,Brushed,35.2,1.143,Ramlist,0.054,low,146242,3.05,micro,5,2.15,2025-08-22
Brass,Chrome plated,24.6,1.728,Glashållare,0.168,medium,157284,3.49,medium,7,1.95,2025-10-30
Aluminium,Powder coated,29.0,1.617,Karmprofil,0.185,high,59926,2.77,micro,12,3.67,2025-04-05
Copper,Phosphated,29.3,1.476,Korsprofil,0.09,high,130556,3.23,large,12,2.43,2025-05-21
Iron,Electroplated,20.0,1.499,Distansprofil,0.172,low,132837,3.43,small,6,2.39,2025-11-30
Iron,Anodized,24.1,1.349,Doldbeslag,0.062,low,92089,3.5,large,4,3.11,2025-04-23
Copper,Hot-dip galvanized,23.5,1.7,Kilspår,0.14,medium,37000,2.99,small,3,4.08,2025-04-19
Titanium,Powder coated,16.3,1.289,Sidoprofil,0.123,medium,141631,3.19,large,10,2.23,2025-12-28
Copper,Blackening,16.3,1.184,Ytterram,0.132,low,95945,3.79,large,2,3.04,2025-12-11
Iron,Hot-dip galvanized,35.0,0.986,Glashållare,0.189,high,152894,4.05,small,10,2.03,2025-10-16
Iron,Electroplated,22.0,1.553,Glashållare,0.181,medium,105696,3.92,medium,2,2.87,2025-04-07
Brass,Wet painted,27.7,1.506,T-profil,0.168,low,39826,3.45,micro,8,4.03,2025-12-01
Tin,Wet painted,22.6,1.187,Mittpost,0.091,low,136163,3.2,large,7,2.33,2025-01-16
Aluminium,Powder coated,37.5,0.86,Glashållare,0.187,high,71800,3.08,medium,8,3.46,2025-02-13
Copper,Plasma sprayed,21.7,1.601,Korsprofil,0.065,low,100349,2.75,micro,4,2.96,2025-08-18
Aluminium,Electroplated,25.7,0.848,Glashållare,0.178,low,105666,2.72,medium,4,2.87,2025-04-18
Copper,Electroplated,35.9,1.478,Innerbåge,0.099,medium,112617,3.64,medium,12,2.74,2025-08-05
Steel,Brushed,35.2,1.721,Skarvprofil,0.058,low,91417,2.96,micro,2,3.12,2025-09-17
Iron,Plasma sprayed,20.0,1.236,Doldbeslag,0.15,low,88396,2.95,large,5,3.17,2025-11-08
Tin,Phosphated,34.3,1.051,Baslister,0.085,medium,40210,4.14,medium,3,4.02,2025-11-16
Brass,Phosphated,26.3,1.479,Distansprofil,0.087,high,113683,2.85,large,11,2.72,2025-07-15
Tin,Anodized,26.9,1.581,Foglist,0.096,high,103485,2.79,large,9,2.9,2025-04-05
Tin,Polished,18.8,1.335,Skarvprofil,0.06,medium,82548,2.71,large,4,3.27,2025-02-25
Tin,Wet painted,17.6,1.718,Ytterram,0.077,medium,106956,3.47,micro,8,2.84,2025-02-01
Aluminium,Blackening,32.6,0.884,Sidoprofil,0.051,high,34251,3.55,small,8,4.13,2025-08-19
Copper,Phosphated,27.2,1.297,Ramlist,0.117,high,97512,3.13,large,10,3.01,2025-01-09
Lead,Plasma sprayed,25.8,1.492,U-profil,0.063,high,108001,3.4,small,7,2.82,2025-07-10
Steel,Electroplated,32.6,1.623,Mittpost,0.152,high,112188,3.8,small,2,2.75,2025-12-27
Nickel,Blackening,33.4,1.001,Glaskil,0.085,high,107582,3.85,medium,9,2.83,2025-07-19
Tin,Phosphated,19.4,1.566,J-profil,0.192,medium,141574,4.07,large,2,2.23,2025-11-30
Titanium,Electroplated,29.8,1.341,Distansprofil,0.181,low,126833,3.86,large,4,2.49,2025-06-10
Aluminium,Phosphated,18.9,1.198,Baslister,0.093,high,74254,3.45,large,12,3.42,2025-03-28
Brass,Wet painted,33.1,0.957,Fönsterbåge,0.167,high,122019,2.84,small,6,2.58,2025-01-21
Nickel,Hot-dip galvanized,30.9,1.625,Karmprofil,0.17,low,41104,2.71,micro,9,4.01,2025-11-07
Lead,Phosphated,37.9,0.98,Glaskil,0.198,low,125005,2.64,small,10,2.52,2025-03-17
Titanium,Plasma sprayed,17.3,1.119,Isolerprofil,0.14,low,32895,3.61,large,8,4.15,2025-05-21
Lead,Phosphated,17.0,1.101,Kopplingsprofil,0.062,low,61892,3.83,large,10,3.64,2025-05-06
Nickel,Polished,22.3,1.631,Rörprofil,0.147,low,72943,3.36,large,12,3.44,2025-09-08
Tin,Blackening,21.8,1.45,T-profil,0.144,low,156021,2.64,small,4,1.98,2025-03-25
Titanium,Blackening,21.4,1.563,Ytterram,0.146,medium,94965,3.4,large,6,3.05,2025-02-17
Lead,Wet painted,36.7,1.065,Fönsterbåge,0.096,low,53123,4.04,medium,11,3.79,2025-03-19
Brass,Plasma sprayed,21.5,1.406,T-profil,0.179,low,38272,3.5,large,9,4.06,2025-01-30
Copper,Brushed,22.0,1.358,Pärlspont,0.194,medium,48182,3.84,micro,2,3.88,2025-10-12
Iron,Plasma sprayed,33.3,1.596,Baslister,0.083,low,98694,3.82,medium,9,2.99,2025-05-16
Copper,Blackening,26.1,1.662,Baslister,0.063,high,103355,4.03,large,8,2.91,2025-05-20
Nickel,Polished,33.7,0.848,Hörnvinkel,0.079,high,56069,3.77,medium,2,3.74,2025-02-10
Aluminium,Hot-dip galvanized,17.2,1.451,Avvattningsprofil,0.173,low,57320,3.74,large,11,3.72,2025-10-09
Iron,Wet painted,27.0,0.884,Kantprofil,0.151,medium,75048,2.92,micro,11,3.41,2025-02-19
Steel,Brushed,16.5,1.337,Glashållare,0.145,high,134921,2.65,large,7,2.35,2025-09-15
Brass,Polished,17.2,1.099,Skarvprofil,0.11,medium,117674,3.37,medium,2,2.65,2025-11-07
Steel,Polished,36.7,1.117,Skarvprofil,0.137,high,77212,2.75,micro,3,3.37,2025-12-26
Titanium,Powder coated,18.9,1.159,Mittpost,0.096,low,45179,4.08,small,6,3.94,2025-09-27
Iron,Wet painted,28.0,1.403,Stödprofil,0.122,medium,66098,3.01,micro,3,3.57,2025-05-14
Steel,Plasma sprayed,25.2,1.141,Clipsprofil,0.169,medium,140091,3.91,micro,11,2.26,2025-08-22
Steel,Electroplated,23.8,1.505,Ramlist,0.197,medium,122126,3.17,micro,2,2.57,2025-05-08
Lead,Hot-dip galvanized,36.6,1.206,Hakprofil,0.19,high,78373,3.06,medium,7,3.35,2025-04-14
Copper,Electroplated,16.2,0.9,Skruvkanal,0.19,high,108091,4.04,micro,9,2.82,2025-09-11
Lead,Plasma sprayed,31.1,1.551,Ytterram,0.11,high,99283,3.13,large,9,2.98,2025-04-05
Iron,Plasma sprayed,38.0,1.098,Clipsprofil,0.12,low,75305,3.17,micro,9,3.4,2025-12-03
Iron,Wet painted,28.7,1.231,Distansprofil,0.156,high,127031,2.72,micro,12,2.49,2025-08-05
Nickel,Plasma sprayed,37.4,1.462,Glashållare,0.188,low,35150,3.62,large,7,4.11,2025-03-02
Lead,Blackening,16.9,1.14,Distansprofil,0.071,medium,60700,3.01,large,12,3.66,2025-09-25
Zinc,Powder coated,25.4,0.889,Hakprofil,0.096,medium,157248,3.48,small,4,1.95,2025-08-29
Copper,Brushed,21.7,1.178,Pärlspont,0.071,low,44253,3.49,micro,2,3.95,2025-01-13
